Performance,All trades,Long trades,Short trades,
Total net profit,($4095.00),($4095.00),$0.00,
Gross profit,$13712.60,$13712.60,$0.00,
Gross loss,($17807.60),($17807.60),$0.00,
Commission,$3040.00,$3040.00,$0.00,
Profit factor,0.77,0.77,1.00,
Max. drawdown,($4207.00),($4207.00),$0.00,
Sharpe ratio,-1.10,-1.10,1.00,
Sortino ratio,-0.90,-0.90,1.00,
Ulcer index,0.02,0.02,0.00,
R squared,0.89,0.89,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,99.99%,99.99%,0.00%,
,,,,
Start date,1/1/2026,,,
Start time,12:00 AM,,,
End date,8/16/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,800,800,0,
Percent profitable,32.25%,32.25%,0.00%,
# of winning trades,258,258,0,
# of losing trades,542,542,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,($5.12),($5.12),$0.00,
Avg. winning trade,$53.15,$53.15,$0.00,
Avg. losing trade,($32.86),($32.86),$0.00,
Ratio avg. win / avg. loss,1.62,1.62,0.00,
,,,,
Max. consec. winners,9,9,0,
Max. consec. losers,17,17,0,
Largest winning trade,$56.20,$56.20,$0.00,
Largest losing trade,($33.80),($33.80),$0.00,
,,,,
Avg. # of trades per day,5.15,5.15,0.00,
Avg. time in market,0.30 min,0.30 min,0.00 min,
Avg. bars in trade,0.30,0.30,0.00,
Profit per month,($555.10),($555.10),$0.00,
Max. time to recover,224.09 days,224.09 days,0.00 days,
Longest flat period,3.98 days,3.98 days,0.00 min,
,,,,
Avg. MAE,$21.45,$21.45,$0.00,
Avg. MFE,$22.77,$22.77,$0.00,
Avg. ETD,$27.89,$27.89,$0.00,
